Komentar,Jumlah Like
Sedikit demi sedikit engkau kamu sih lagunya sih Sedih banget aku sampai nangis terharu sama kamu,0
"Dah lama loh indonesia GK bikin film anak2 ky gini,ky jaman ku dlu ... Generasi 90 an",0
luh siapa,0
Keren animasi anak bangsa❤,0
Sumpah aku pengen nangis 😭😭,0
"filmnya gambar animasinya bagus hanya ceritanya yang aneh banget. menyelamatkan hantu kuburan yang akan di gusur dan juga pak RTnya di tangkap polisi gara2 menggusur kuburan dan menjual tanah. hal yang aneh sih, bahkan anak gw tiba2 tanya hal2 ini.",0
"Keren film karya anak bangsa, ditambah pemerintah mendukung",0
🥲AAA,0
"sentuhan lokalitas Indonesia mungkn harus lebih diperkaya lagi, background misalnya masih banyak yg ke eropa eropahan...",0
yaAllah bagus banget grafiknyaaaaaa,0
Mantap singkawang<br>Gak nyangka produser jumbo org singkawang,0
hadehhh.. film apaan ini..😢😢,0
"Rakyat yang berusaha bekerja keras demi prestasi, pejabat konco kaisar konoha mikir nya cuma ngeruk saja, keruk, spt kapal keruk.. <br>Pak Prabowo kami bersama mu, tinggalkan raja konoha.. Bangun negeri ini ..",0
Film animasi yang tayang di waktu libur Lebaran dan Paskah 2025,0
"Ya Allah , masih heran sama yg dislike. 😢 Sampe diumpetin gitu. Karya anak bangsa Indonesia loh ini, sesulit itu mereka untuk sekedar menghargai",0
Tomo san akhirnya sukses dengan impian nya yg iya rencanakan dari ditahun 2013 menjadi animator terkenal,0
"Smoga filem indonesia terus maju, slam dri mlaysia.🇲🇾",0
Aku sedih,0
Don ko kayak kenal tak,0
"feeling gua ja ato emank amatiran bgt yg suara anak anaknya,,,, harus nya lbih di selektif gtu minimal da yg unik  gtu dari suara anak anaknya",0
Jadi sedih 😢,0
Sampe-sampe mataku ber kaca kaca😢,1
Lebih bgus ini dr pd upin ipin ayow Indonesia berjayalah animasi ny❤❤❤,0
😢😢😘😘😘❤❤❤❤❤,0
Alamat gitu aja nangis itu nonton bioskop itu nangis😢😢😢😢❤❤😂😂,0
Beneran sedih liyat filem yan ayir mata me galir,0
Aku mau nangis😢😢😢,0
Sedih bgt😭😭🥺,0
"Wowo ada secercah harapan buat kebangkitan film anak anak. Saya lagi cari film anak indonesia buat anak saya belajar bahasa indonesia susah bgt. Akhirnya nemu jumbo ,smoga cpt tayang di Netflix Australia.",0
aku nonton ini saat lebaran sedih banget pas nonton😢,0
"sayang ceritanya gak jauh jauh dari horor,,, udah di bikin kartoon masih juga anak gw harus liat adegan adegan kuburan dan seputaran dunia arwahnya… hadehhhhh konoha😌",0
Keren,0
Keren luar biasa. Saya suka,0
"dari jaman dulu inget gak ada iklan animasi yang bajaj, trek, motor, di jalanan indonesia berubah jadi robot2.. <br><br>sebenarnya dari jaman dulu juga kita MAMPU. Jauh sebelum ada upin ipin. <br><br>Cuma gak di support aja 🙂",0
kerennnn,0
bandingin jumbo sama toy story 1. Jumbo jauh lebih bagus sebagai pemula wkwkkwkw. bangga dikit indonesiakuh,0
Filmnya seru 💪🏻👏🏻👍🏻,0
kapan nih tayang di malaysia????,0
Kerenn bgt sih film ini....,0
Aku pernah nonton film ini kalo denger lagu nya mau nangiss terharu,0
aku udah nonton film jumbo nya kakak ku sampai nangis woi😭,0
Tiba-tiba datang anomali yang bilang manusia yang gak pakai ai bakal kalah sama yang pakai ai.. karbit banget.,0
😍🤩,0
T,0
😢😢😢😢😢❤😭😭😭,0
Meri 😭😭😭😭😭,0
"viewer trailernya 2 jutaan, tp penonton di bisokop sudah mencapai 5 juta. setengahnya gk nonton trailer kah,",0
Yang nyanyi Quinn salmAn,0
aku udah nonton full nya di bioskop itu bagus banget dan ada bagian sedih,1
Kena pajak kah🤔,0
Kwalitas gambarnya sekelas pixart oernah muncul video di sosmed ku kira kartun dari pixart ternyata dari indo😊,0
"Suaranya kek, wowo gendut wowo gendut 😂 selimutnya mana ni wo",0
Kayak sinetron,0
Ko kayak sinetron biasanya anak anak nonton kartun yang ceria ceria,0
"Luar biasa, terus maju industri animasi Indonesia 🎉",1
Wajib ajak anak kita untuk menonton film ini.<br>Karya terbaik indonesia.<br>Bnyak hal yg ajaran untuk anak kita mengerti arti pertemanan.setia kawan .dan ke egoisan,0
Jangan nyerah jumbo semngat❤❤❤❤❤❤😊😊😊😊😊,0
"Film bagus, semoga laris dan menjadi pembelajaran baik untuk generasi muda Indonesia",0
😢❤sayang keluarga,0
Bagus banget,0
😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,1
Kemarin aku habis liat bioskop.Tentang jumbo seru banget sumpah ❤❤❤🎉🎉😂😂😊😊,0
😭,0
Gak ada dibanggakan paling dibanggakan sepakbola Indonesia,1
Kartun biasa,0
An outstanding movie with excellent music scoring. It&#39;s hard to believe that such a high-quality animated film was produced in Indonesia. Proficiat!,0
Animasinya ini bagus banget🎉🎉🎉🎉❤❤❤,0
Gw nonton sama bini dan anak anak gw   bini sama anak gw nangis... Gw ga nangis cuma mata berkaca2 aja gw tahan jgn sampe nangis klo gw ampe nangis malu gw  masa seorang aayah yg gagah nangis gara2 nnoton flm kartun 😢😅😅😅,0
"seakan gak percaya.. studio animasi Indonesia gak kalah dengan studio nya Disney atau DreamWork.. <a href=""UCkszU2WH9gy1mb0dV-11UJg/hcMfY5_zAbbxvwKLooCoCA""></a>",0
"jd inget di jaman saya, kalo lebaran atau libur sekolah pasti diajak oleh alm ayah dan alm ibu nonton film warkop 😢",0
Seru banget,0
Aku nonton sampai nangis,0
animasi jos. storynya perlu ditingkatkan,0
😭😭😭😭😭😭,0
"Indonesia itu bisa aja melakukan apapun yang amerika lakukan, apapaun yang china lakukan.<br>Pemerintah kita lagi upaya untuk nahan kita biar ga terlalu jago",0
9😅🎉,0
Kelebihan Indonesia memang yg model gini.. yg rada2 art.. kalo soal teknologi2an ketinggalan terlalu jauh.. semoga bisa fokus dan majuuuuuuuuuuuu....,0
"Film terbaik bulan ini … semoga semakin banyak sprt ini,, cocok buat anak2",0
"Dub nya suaranya hampir sama semua tone nya, dan alur ceritanya terlalu tradisional. Tapi ini awal yang bagus",0
Eem ini kenapa ya kok tiba tiba ke pause sendiri??,0
Sorry mechamato its a far better than this shit!!honestly opinion,0
Animasi kalo GK bawa&quot; agama pasti maju,0
Maju terus film animasi Indonesia. <br>Jumbo keren.,0
"setelah 1000 tahun hidup di Indonesia, akhirnya ada film yg menyajikan hal positif dan mimpi kpd  anak anak <br><br>umur gw 45<br><br>gw adalah penggila kartun apapun juga sedari kecil yang di dominasi dr amerika yang berawal dr penyuka komik dan di dominasi komik dr eropa selagi gw kecil di thn 80an<br><br>lalu munculah rcti dengan acara film nya yang grash dr amerika <br><br>baik sitcom series atau film lepas layar lebar<br><br><br>semua film kartun yang ada di rcti l<br>kayanya gw lahap....<br><br><br>dan sialnya saat keluar rumah apalagi saat msk smp...gw hbs do bully <br><br>wajah gw yang melankolis dan kelembutan diri dan kelucuan gw jadi bahan intimidasi anak orang orang susah di sekolah negeri <br><br><br>lalu karena lelah dengan perlakuan orang orang brengsek, gw putuskan melawan....<br><br><br>di kls pertengahan kls 2 smp gw melawan <br><br>gw ributin semua<br><br>dan gk lama gw bisa ikut nongkrong <br><br>dgr slank<br><br>sentuh rokok<br><br>dan sma kenal ganja dan alkohol <br><br>nge band musim rock terutama guns n roses <br><br>tamat sekolah dengan ijazah merah nya dua dan kemungkinan ga lulus sebenernya  gw sudah masuk dunia yang lbh gelap<br><br>kriminal....<br><br><br>hottttt damn....😅😅😅😅😅😅<br><br>skr tobat dan miskin<br><br>semua terjadi karena gw sudah lebih ber adab duluan di sini dan gw lahir besar di Jakarta...<br><br><br>semoga anak anak manis spt gw dulu yang penuh asupan hal hal positif terjauhkan dr anak anak gembel karena orang orang tua yang tolol 😡😡😡<br><br><br>makanya klo ada lihat anak remaja nakal ke anak lainnya  biasa nya langsung gw samperin trus gw tempelengin <br><br>mau anak siapa kek...mau pulang ngadu sama orang tua nya kek...<br><br>ga perduli !!!!<br><br>karena pernah kejadian bbrp kali orang tua dtg karena anak nya gw tempelengin  ....<br><br>eh pake ngomel udah nge didik anak ga bisa<br><br><br>gw tempelengin aja juga orang tua nya sekalian...<br><br>dkt kontrakan gw semua orang sudah tau lahhh<br><br>di kontrakan tempat gw usaha kecil kecilan buat nyambung hidup dan bisa makan 😁😁",0
"Semoga kedepan nya, lbh bnyak lg film animasi spt ini. <br>Kerennn polllll👍👍👍👍",0
akuu udahh nontonn,1
Mistis,0
AKHIRNYA INDONESIA MEMILIKI FILM SEKELAS DISNEY 😢😢😢,0
Keren flim animasi jumbo,0
Serbu kita ajak anak2 nonton,0
Ngapain juga y ke bioskop nonton yutub aj udah seneng,1
🥲🥲🥲🥲,0
Halo sobat dan Don,0
"Film bahasa Bêtawi, subtitle nya pun menggunakan bahasa Jakarta.",0
Bisa2nya gw yg udah bapak2 mewek cuma gara2 nonton trailer😅,0
"Ternyata sebenernya indonesia sama dengan Malaysia dari sisi kemajuannya, cuma ada sesuatu ini...",0
mirip tokoh animasi di film UP,0
Seharusnya tahun ini jumbo bisa viral dan muncul terus disosmed tapi jumbo yg tayangnya bioskop only (tau lah rata-rata orang indo kurang mampu dan sederhana) jadi jumbo ketutup Ama meme Denis meskipun penonton jumbo udah nembus 5jt,2
Jangan lupa di like film Indonesia karya anak bangsa harus kita hargai,0
Film nya bagus bangett <br>Aku suka sekalii ❤❤,0
Grafiknya kayak film animasi illumination loh,0
😢😢😢😢😭😭,0
hebat banget yang buat film nya 🎉🎉,0
😮😮😮<br>waw hebat ya indonesia bisa buat kartun sebagus ini <br>Sebagai note aja ini bagi yang suka debatin film ini bukan animasinya yang bikin bagus tapi konsep dan cerita yang bisa membuat suatu karya jadi keren gitu ❤❤❤❤❤❤,0
Film animasi yang tayang di bioskop waktu libur Lebaran dan libur Paskah,0
Kok ga ada unsur indonesianya kecuali bahasa.🤦,0
Film animasi yg keren bagus sekali 👍,0
Emang sebagus itu yah film animasi ini?,0
Aku sudah lihat beneran bikin terharu banget ada sedih ada terharu dan ketawa ❤ wajib sih liat apalagi bareng bareng bikin terharu banget 😭❤️,0
✅️,0
Kapan ya jumbo ada di hp atau  tv😢,1
😢😢😢😢,0
"Wah coba ost nya yang nyanyi Sherina, keren banget dah kaya disney",0
"Nangis ini mah , kok bisa sih , gw manggil nenek gw OMA , manggil bokap ayah manggil nyokap juga ibu , nyokap gw musisi dan punya banyak lagu dan nama gw juga DON kacau ini mah",0
jujur gw dari Malaysia gw support banget film ini karna ia film yang penuh pengajaran gw harap bisa nonton nya gw ga peduli sama grafik cantik ke tidak yang gw mahu support film tetangga karna mereka juga umat Rasulullah SAW,1
Hebatnya,0
Bagus banget animasi nya dan gambarnya😍,0
"nonton trailernya aja udah banjir air mata aku, gimana ini 😭",0
"Lebih bagus Dunia Loko, Dalang Pelo",2
Don=Dontol? 😂,1
"Kirarin pixar, gela keren bangeeeet 🎉🎉🎉🎉",0
♥♥♥♥♥,0
"Sangat Luar biasa, Hadirnya Film ini menjadi harapan ditengah hiruk pikuk  ketidak pastikan di negeri ini, bahwa bangsa ini masih bisa bersaing, terutama menjadi kebangkitan perfilman Indonesia❤",0
"Lahh ini lebih kren grafiknya, di banding filem rafhtar yg animasi itu😂",0
😭🤭🥹🥰😍🥺🤔😡🤪🫥❤,0
Animasinya gokil... Dah kelas internasional 🎉🎉🎉,1
Film Jumbo ini keren banget.. Bagus..,0
Bagus banget,0
Animator indo lagi marah nih... Gila animasinya bagus dan paling laris se asia tenggara,0
Fufufafa ikutan memuja film jumbo 😂,0
😢❤👍🏻😊,0
top 🎉,0
GX suka sama sekali film nya,2
"Hargai karya anak bangsa dengan mendatangi dan menonton film animasi bagus ini bersama keluarga dan anak2 kita..akan lebih baik bila pemerintah hadir dan ikut mendukung film2 animasi yg bagus ini agar makin banyak film animasi sejenis Jumbo ini..film animasi ini bukannya masuk ke Industri kreatif y, kan ada kementrian Pariwisata dan Kreatif y..👍",0
😢😢😢,0
Banyak hikmah yang bisa diambil dari film ini guys... semangat anak anak Indonesia..❤,0
Aku udah lihat seru banget Kita tidak boleh mengejek teman kita seharusnya kita menghargai teman yg gendut <br>kita harus bermain bersama sama,0
Izin ambil videonya min 🙏,1
Keren nih film,0
Broo belum tau Vivan 😂,0
Udah tembus 5jt penonton dibioskop👏👏👍,0
"Lha ini ada kartun yg bagus, luwes. Biasanya kaku ga enak dilihat",0
"keren animasi nya, , serasa nonton disney 🎉🎉, , cma nuansa ceritanya lebih kental indo ya",0
200+ animator ❤,1
Keren bgt,0
ini keren. pixarnya indonesia,0
Sebenarnya orang Indonesia itu pinter2...hanya saja pemerintah nya yang......,0
💯💯💯,0
Mantaapppp 👍👍👍,1
Luarbiasa karya anak abah 👍👍👍,0
Wah baguss banget ya jumbonya😊❤🥺☹️😭😭😭😭🤤😱😭😱😭😱😭😱,0
"Alhamdulillah judulnya Jumbo, bukan Gemoy",0
Aku besok hari Minggu mau nonton film jumbo 🎉🎉 gk sabar,0
Ini karya anak bangsa lo ini 😢😢 se keren ini Please 😢,1
keren jumbo😂😂😂😂😂😂😂😂😂,0
Diluar ekspektasi loh... 9/10 ⭐⭐⭐⭐⭐ Go internasional,0
Next Transformer bajaj,1
Ini yg ngisi pengisi salah satunya BCL sama Ariel Noah yah ? Soalnya ada suara BCL di lagunya 😢,0
Bulliying??,0
BANGGA BANGET DENGAN KARYA ANAK BANGSA YANG UDAH KELAS DISNEY GINI 🇮🇩🇮🇩🇮🇩🇮🇩😍😍😍😍😍😍,1
Saya berharap kedepannya ada juga Film animasi asli Indonesia yg menceritakan tentang Bulutangkis dan Sepakbola. Tujuannya agar lebih memberikan motivasi bagi anak-anak Indonesia utk terus berolahraga dan berprestasi dibidang olahraga 🇮🇩❤,0
Kelas 👏👏👏👏,0
"Kualitas animasi udh kelas pixart banget, tinggal ceritanya menarik atau enggak. Keren❤",2
Keren banget bikin nangis juga,0
Keren animasi karya anak bangsa.,0
😊😊❤😊❤😊❤😊😊❤❤😊😊❤😊❤😊❤😊😊❤,0
Nah gini dong mantap animasinya🤝,0
Bagus banget ceritanya,1
Mantap .,0
Ternyata Indonesia punya animator hebat dan pasti banyak potensi penerusnya. Sementara Wapresnya sibuk AI AI gak jelas.,1
"Baru liat trailer nya aja udah geregetan pen nonton, pasti se seru itu ceritanya",0
"Jangn lupa kayak di jepang. Bikin pernak pernik nya jumbo. Gantungan kunci,sampul buku,tas topi dll. Semuanya di jual akan menjadi cuan. Seperti Disney semua hal ttg Disney dijual. Dibikin harga standar sampai kualitas ORI...gaskan",0
aku suka merry,1
Karya Ryan adryandhi stand up comedy,0
"Power. Klau dkt Malaysia, mana nak tengok ya? Menarik ni. Style2 pixar dah animasi Indonesia. Congrats guys.",1
"Sedikit kritik terkait film ini yang ternyata masih mengangkat isu bullying bahkan judul JUMBO sendiri dari nama ejekan, kenapa gak DON kalau memang mau angkat nama karakter nya.",5
Tk tertarik dgn trailernya.. tpi penasaran,0
Jumbo 😮,0
Kebanyakan animasi indonesia gx ada yang mendidik padahal kan target marketnya anak2 <br>Dan akhirnya muncul animasi jumbo yang sangat bagus menurut q,0
Film yang paling Bagus 😊😊,0
kalau sudah sukses ...MULAI TUKANG OMON&quot; pada numpang tenar ....,0
"Jelek banget film nya , cerita nya terlalu mentah dan alurnya terasa tergesa gesa . Ternyata SDM animasi  kita emang belum bisa buat bersaing di luar . Negara ini tidak akan pernah maju 😢",0
Tolong dong film jumbo harus ada di youtube,0
"Dari komentar disini aja msh banyak orang yg kurang mendukung, gimana mau maju wkwkwk padahal udah kelas ini hasilnya keren. Gak salah dibilang sebagua Disney/pixar, tp masih ada aja yg komen negatif😂",1
"2014 ada animasi berdurasi 4 menit dgn judul &quot;pada suatu ketika&quot;, smp hari ini itu film ga pernah ada lagi yg artinya ga ada dukungan dari pemerintah. Semoga filmnya bisa terealisasi",4
Sedih sih cerita nya nangis tau,0
kasian dia hmmmm pantes lah kata nya sedih ternyata emang ya 😢😢😢😢😊,0
❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊,0
graphic animasi malaysia jauh lebih bagus😂,1
"Bikin donk animasi super hero versi Indonesia donk,sperti gatot kaca, dll",0
😊😊😊😊😊😂😂😂😂😂,0
Keren keren kereen...💪💪👏👏⭐⭐⭐,0
Jelek banget film nya,0
Kitaa ramaikan,0
"Anak aku udh nonton eh dia mnta nonton lg ,sangkin bgs flm nya❤",0
Meri,0
"Pliiiiiiiis bunda ayah ajak anak² kt nonton animasi jumbo ini, sbb anak bangsa bisa membuat film sebagus ini, kami rakyat indonesia bangga memiliki film animasi yg sebagus ini, teruslah maju animasi indonesia, indonesia ternyata memiliki tangan² yg handal utk animasi film kartun sebagus ini, kami amat sangat terkesima menyaksikannya dibioskop, love love love indonesia ternyata kita bisa ✊✊✊✊✊✊👍👍👍👍👍🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨",5
Bangga. Kalau Indonesia bersatu..negara luar minggir.,0
Don sama dg dontol,0
Alhamdulillah indonesia punya juga film animasi keren,0
Akhirnya ada film Indonesia utk anak2 yg sesuai anak...🎉🎉,0
Pff,0
"👍👍👍👍👍👍<br>Sangat bangga, Indonesia sudah punya film animasi se bagus ini... 👏👏👏",0
"Kualiti JUMBO belum standing animasi asal Malaysia seperti Ejen Ali, Mechamato Dan Upin Upin.. Ekspresi watak JUMBO keliatan masih kaku",1
Kereeen abis,0
"bgs, kurangkan filem hantu",0
"Agak menarik trailer animasi ni, moga dpt bersaing dgn animasi di asia tenggara 🎉👍",0
"Sumpah ini film jd fomo dikalangan bocil2 sampe temen2 gw dikantor.. mau gak mau ikutan war tiket demi menyenangkan anak2 gw.. yah begitulah kalo dah jd ortu.. 😊<br><br>Btw animasi keren udah sekelaz &#39;pixar&#39;.. semoga dikemudian hari akan ada muncul film2 animasi karya anak bangsa yg memiliki cerita keren ditambah bisa menggabungkan efek2 suara yg lebih keren lagi..<br>(ini menurut masukan gw ya, kalo menurut anak2 gw si ya keren abis ni film)<br><br>Mari mengkritik demi memajukan animasi anak bangsa, bukan mengkritik utk membenci/menjatuhkan.. maka bijak dan cerdaslah dalam berkomentar.. 💪🔥👏✌️",1
Film ini memang benar benar &quot;secuil emas&quot; diantara gempuran acara acara tv yang tidak mendidik 👏👍,0
"Sepupuku ngajak nonton ini besok, dr sekian lama ga pernah jalan bareng berdua tiba2 dia ngajak nonton berdua aja. Berat bgt hidup dia dr kecil udh ditinggal bpk dan 5 tahun lalu di tinggal mama nya mana harus nanggung biaya untuk 2 adeknya dan 2 ponakan dia yg ditinggal meningggal org tuanya(adik dia yg no 2) 😢",5
luar biasa... animasi karya anak bangsa,0
gw kek rasa mau nonton tapi gw dri malaysia papa/ibu ku gk suka gw nonton indonesia,0
❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🎉🎉🎉,0
bahkan grafiknya lebih baik dari upin ipin,0
Jelek trailer nya.,0
Keren jumbo,0
"Keren abiss animasi JUMBO ciptaan ratusan kreator asli Indonesia, semoga semakin sukses lagi.",0
Tahniah Indonesia dapat hasilkan animasinya berkualiti. Salam dari Malaysia..,2
